Unnamed: 0,ID,tags,text,new_tags,labels,label_combination,label_combination_adjusted
3864,NCT02873598,21:32:allergy_name,Contraindication to IV contrast,20:31:allergy_name,['allergy_name'],allergy_name,allergy_name
7105,NCT01697293,"102:109:allergy_name,151:161:allergy_name,163:173:allergy_name","History of allergic reactions attributed to compounds of similar chemical or biologic composition to PTX-200 or other agents used in the study (e.g., imidazoles, quinolones)","101:108:allergy_name,150:160:allergy_name,162:172:allergy_name",['allergy_name'],allergy_name,allergy_name
4546,NCT02355535,1:8:cancer,Gliomas,0:7:cancer,['cancer'],cancer,cancer
4477,NCT02401347,1:49:cancer,Brain or central nervous system (CNS) metastases,0:48:cancer,['cancer'],cancer,cancer
471,NCT02424968,7:17:cancer,Prior malignancy,6:16:cancer,['cancer'],cancer,cancer
4241,NCT02530034,1:49:cancer,chronic myeloid leukemia in blast phase (CML-BP),0:48:cancer,['cancer'],cancer,cancer
475,NCT02393794,26:36:cancer,Subject has a concurrent malignancy,25:35:cancer,['cancer'],cancer,cancer
3040,NCT03059030,50:80:cancer,worsens postoperative survival in the setting of hepatocellular carcinoma (HCC),49:79:cancer,['cancer'],cancer,cancer
474,NCT02401035,8:18:cancer,"Active malignancy of any type, or history of a malignancy",7:17:cancer,['cancer'],cancer,cancer
4191,NCT02555280,17:35:cancer,Patients with a primary bony tumor,16:34:cancer,['cancer'],cancer,cancer
3446,NCT01884740,1:18:cancer,oligodendroglioma,0:17:cancer,['cancer'],cancer,cancer
2597,NCT02064036,"70:94:cancer,",Pathologically (histologically or cytologically) proven diagnosis of prostatic adenocarcinoma within 180 days of registration at moderate to high risk for recurrence,69:93:cancer,['cancer'],cancer,cancer
5311,NCT00909909,1:20:cancer,Papillary carcinoma,0:19:cancer,['cancer'],cancer,cancer
6389,NCT02382549,"17:36:treatment,40:59:treatment,64:82:cancer,,",The most recent surgical resections or gamma-knife therapy for malignant melanoma must have been completed ≥ 1 week and ≤ 6 months prior to registration,"16:35:treatment,39:58:treatment,63:81:cancer","['cancer', 'treatment']",cancer_treatment,cancer_treatment
5459,NCT01042522,"5:21:treatment,38:53:cancer,,132:159:treatment",Any hormonal therapy directed at the malignant tumor must be discontinued at least one week prior to registration; continuation of hormone replacement therapy is permitted,"4:20:treatment,37:52:cancer,131:158:treatment","['cancer', 'treatment']",cancer_treatment,cancer_treatment
7163,NCT01591356,"20:36:treatment,46:61:cancer,68:78:treatment,82:127:treatment","stable regimens of hormonal therapy i.e. for prostate cancer (e.g. leuprolide, a gonadotropin-releasing hormone [GnRH] agonist)","19:35:treatment,45:60:cancer,67:77:treatment,81:126:treatment","['cancer', 'treatment']",cancer_treatment,cancer_treatment
6977,NCT01918683,"45:49:treatment,64:70:cancer,75:99:treatment",Meets clinical criteria for eligibility for TACE to the target lesion per Interventional Radiology,"44:48:treatment,63:69:cancer,74:98:treatment","['cancer', 'treatment']",cancer_treatment,cancer_treatment
1721,NCT03162731,8:19:chronic_disease,"active hepatitis B (e.g., hepatitis B surface antigen [HBsAg] reactive)",7:18:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
3323,NCT02322203,"28:54:chronic_disease,,",Patients with a history of type I or type II diabetes or HbA1c greater than 6.5%,27:53:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
1908,NCT02785042,21:29:chronic_disease,Negative history of glaucoma (not including family history),20:28:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
2336,NCT02739035,1:18:chronic_disease,Renal dysfunction,0:17:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
5666,NCT03006302,"5:23:chronic_disease,35:62:chronic_disease,67:89:chronic_disease,","New pulmonary embolism, extremity deep venous thromboembolism, or portal vein thrombosis within 2 months of study enrollment","4:22:chronic_disease,34:61:chronic_disease,66:88:chronic_disease",['chronic_disease'],chronic_disease,chronic_disease
5150,NCT01659541,1:38:chronic_disease,Spinal cord injury C8 level or higher,0:37:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
1756,NCT03058029,"12:24:chronic_disease,",History of pancreatitis within the past 12 months,11:23:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
7335,NCT00573027,"1:11:chronic_disease,19:40:chronic_disease,47:59:chronic_disease,61:70:chronic_disease,72:88:chronic_disease","Chest pain with a non-ischemic etiology (e.g.,pericarditis, pneumonia, esophageal spasm)","0:10:chronic_disease,18:39:chronic_disease,46:58:chronic_disease,60:69:chronic_disease,71:87:chronic_disease",['chronic_disease'],chronic_disease,chronic_disease
5104,NCT01773707,18:38:chronic_disease,Have evidence of active EBV infection,17:37:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
3137,NCT01445821,20:45:chronic_disease,Occult or clinical constrictive pericarditis,19:44:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
6179,NCT02493530,"12:38:chronic_disease,40:55:chronic_disease,57:78:chronic_disease,83:105:chronic_disease,","History of cerebral vascular accident, unstable angina, myocardial infarction, or ventricular arrhythmia within the last 6 months","11:37:chronic_disease,39:54:chronic_disease,56:77:chronic_disease,82:104:chronic_disease",['chronic_disease'],chronic_disease,chronic_disease
1331,NCT02726906,12:20:chronic_disease,Absence of dementia,11:19:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
4642,NCT02290028,78:94:chronic_disease,"Presence of another life-threatening, underlying illness separate from their cardiac disorder",77:93:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
5008,NCT01947140,57:90:chronic_disease,Patients must have histologically confirmed relapsed or refractory Non-Hodgkin's lymphoma,56:89:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
5720,NCT02926248,"15:30:chronic_disease,38:51:chronic_disease,53:62:chronic_disease,,","Patients with hepatic disease (known liver disease, cirrhosis, and/or AST/ALT>60)","14:29:chronic_disease,37:50:chronic_disease,52:61:chronic_disease",['chronic_disease'],chronic_disease,chronic_disease
2246,NCT00711373,1:23:chronic_disease,Uncontrolled infection,0:22:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
6341,NCT02403128,"1:21:chronic_disease,23:41:chronic_disease,43:66:chronic_disease","pre-retinal fibrosis, retinal detachment, vitreo-macular traction","0:20:chronic_disease,22:40:chronic_disease,42:65:chronic_disease",['chronic_disease'],chronic_disease,chronic_disease
4667,NCT02265315,18:54:chronic_disease,Individuals with Idiopathic Parkinson's disease (IPD),17:53:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
3347,NCT01895777,24:43:chronic_disease,"including known active hepatitis A, B or C",23:42:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
4136,NCT02578641,1:29:chronic_disease,ischemic heart disease (IHD),0:28:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
1682,NCT02102113,38:56:chronic_disease,Having one relative with a confirmed psychotic disorder,37:55:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
7254,NCT01261728,"22:29:chronic_disease,33:52:chronic_disease,72:88:chronic_disease","Serious intercurrent medical or psychiatric illness, including serious active infection","21:28:chronic_disease,32:51:chronic_disease,71:87:chronic_disease",['chronic_disease'],chronic_disease,chronic_disease
5505,NCT03188042,"1:24:chronic_disease,81:89:chronic_disease,91:97:chronic_disease","End-stage organ disease or medical condition with subsequent vision loss (e.g., diabetes, stroke)","0:23:chronic_disease,80:88:chronic_disease,90:96:chronic_disease",['chronic_disease'],chronic_disease,chronic_disease
4737,NCT02202681,28:54:chronic_disease,Subjects with a history of intestinal Crohn's disease,27:53:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
1769,NCT01822522,",,62:74:chronic_disease,",Lipase < 2.0 x ULN and no radiologic or clinical evidence of pancreatitis (within 1 week of study entry),61:73:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
3785,NCT02943408,1:41:chronic_disease,"major depression with psychotic features (296.24, 296.34)",0:40:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
149,NCT02312596,1:4:chronic_disease,HIV,0:3:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
1393,NCT02106650,21:55:chronic_disease,"known, uncontrolled human immunodeficiency virus (HIV)-positive diagnosis",20:54:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
283,NCT01773707,9:25:chronic_disease,Have an active infection at time of randomization,8:24:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
1317,NCT03070535,12:20:chronic_disease,"Be free of dementia, and able to cognitively and physically give informed consent",11:19:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
3228,NCT02556606,42:62:chronic_disease,"Patients with any clinically significant personality disorder that would, in the investigator's judgment, preclude safe study participation",41:61:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
3039,NCT00716066,1:18:chronic_disease,Myasthenia Gravis,0:17:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
147,NCT02329652,1:4:chronic_disease,HIV,0:3:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
3417,NCT02107261,35:43:chronic_disease,Patients with focal task-specific dystonia of one or both hands,34:42:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
2685,NCT01989546,5:29:chronic_disease,"Any gastrointestinal disease which would impair ability to swallow, retain, or absorb drug is not allowed",4:28:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
7034,NCT01850758,"35:49:chronic_disease,92:112:chronic_disease,114:142:chronic_disease,144:163:chronic_disease,165:176:chronic_disease,178:190:chronic_disease,192:207:chronic_disease","Inflammatory or auto-immune based joint diseases or other lower extremity pathology (e.g., rheumatoid arthritis, systemic lupus erythematosus, psoriatic arthritis, polymyalgia, polymyositis, gout pseudogout)","34:48:chronic_disease,91:111:chronic_disease,113:141:chronic_disease,143:162:chronic_disease,164:175:chronic_disease,177:189:chronic_disease,191:206:chronic_disease",['chronic_disease'],chronic_disease,chronic_disease
4591,NCT02332369,1:21:chronic_disease,Retinal degeneration,0:20:chronic_disease,['chronic_disease'],chronic_disease,chronic_disease
